Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
824,KLM1626,183,"52.398521,4.713945",136,1532815662,2018-07-28Z
900,KLM1626,184,"52.401249,4.714159",141,1532815626,2018-07-28Z
1025,KLM1626,183,"52.408401,4.714845",142,1532815619,2018-07-28Z
1075,KLM1626,185,"52.410732,4.715065",150,1532815610,2018-07-28Z
1287,KLM1626,185,"52.42149,4.716532",150,1532815603,2018-07-28Z
1375,KLM1626,186,"52.424267,4.716929",150,1532815591,2018-07-28Z
1475,KLM1626,188,"52.432129,4.718044",151,1532815578,2018-07-28Z
1599,KLM1626,191,"52.43819,4.719273",153,1532815570,2018-07-28Z
1747,KLM1626,192,"52.445824,4.72164",160,1532815559,2018-07-28Z
1824,KLM1626,193,"52.451702,4.723374",161,1532815550,2018-07-28Z
1925,KLM1626,194,"52.45713,4.725306",162,1532815543,2018-07-28Z
2050,KLM1626,194,"52.463261,4.727534",164,1532815534,2018-07-28Z
2216,KLM1626,196,"52.472031,4.731124",168,1532815522,2018-07-28Z
2325,KLM1626,196,"52.477695,4.733787",168,1532815514,2018-07-28Z
2421,KLM1626,196,"52.483509,4.736661",168,1532815507,2018-07-28Z
2524,KLM1626,196,"52.489582,4.739564",168,1532815498,2018-07-28Z
2618,KLM1626,193,"52.495491,4.742589",168,1532815490,2018-07-28Z
2736,KLM1626,190,"52.501736,4.745029",167,1532815483,2018-07-28Z
3005,KLM1626,170,"52.519184,4.749286",171,1532815460,2018-07-28Z
3099,KLM1626,159,"52.525234,4.748342",179,1532815451,2018-07-28Z
3211,KLM1626,148,"52.531429,4.745283",186,1532815442,2018-07-28Z
3342,KLM1626,139,"52.537262,4.739998",198,1532815434,2018-07-28Z
3449,KLM1626,131,"52.542362,4.733551",211,1532815427,2018-07-28Z
3541,KLM1626,126,"52.547119,4.725257",226,1532815420,2018-07-28Z
3750,KLM1626,113,"52.554867,4.708365",250,1532815406,2018-07-28Z
3900,KLM1626,108,"52.560398,4.690439",264,1532815394,2018-07-28Z
4209,KLM1626,89,"52.56678,4.654664",306,1532815374,2018-07-28Z
4404,KLM1626,94,"52.56757,4.627423",228,1532815362,2018-07-28Z
4600,KLM1626,103,"52.568802,4.599492",246,1532815351,2018-07-28Z
4739,KLM1626,110,"52.57021,4.580953",254,1532815342,2018-07-28Z
4899,KLM1626,120,"52.573349,4.562827",228,1532815334,2018-07-28Z
5050,KLM1626,131,"52.577377,4.54634",228,1532815327,2018-07-28Z
5277,KLM1626,140,"52.587132,4.524447",228,1532815317,2018-07-28Z
5400,KLM1626,149,"52.595131,4.512726",228,1532815306,2018-07-28Z
5569,KLM1626,158,"52.604065,4.503147",228,1532815299,2018-07-28Z
5916,KLM1626,172,"52.622761,4.491875",228,1532815283,2018-07-28Z
6409,KLM1626,190,"52.651188,4.488902",274,1532815259,2018-07-28Z
6562,KLM1626,205,"52.659939,4.490084",274,1532815250,2018-07-28Z
6750,KLM1626,214,"52.667927,4.495317",274,1532815242,2018-07-28Z
6916,KLM1626,229,"52.67408,4.500961",274,1532815235,2018-07-28Z
7067,KLM1626,243,"52.679474,4.509787",274,1532815226,2018-07-28Z
7232,KLM1626,252,"52.68364,4.521323",274,1532815219,2018-07-28Z
7465,KLM1626,265,"52.687366,4.538816",274,1532815207,2018-07-28Z
7725,KLM1626,263,"52.688648,4.560579",274,1532815195,2018-07-28Z
8225,KLM1626,268,"52.689407,4.601146",274,1532815170,2018-07-28Z
8790,KLM1626,266,"52.690166,4.647541",274,1532815143,2018-07-28Z
9116,KLM1626,265,"52.691353,4.674798",274,1532815126,2018-07-28Z
9371,KLM1626,264,"52.692337,4.695579",274,1532815114,2018-07-28Z
9606,KLM1626,265,"52.693611,4.715772",274,1532815103,2018-07-28Z
10033,KLM1626,274,"52.695736,4.748873",274,1532815082,2018-07-28Z
10273,KLM1626,273,"52.695019,4.769797",274,1532815072,2018-07-28Z
10442,KLM1626,277,"52.694786,4.784251",274,1532815062,2018-07-28Z
10610,KLM1626,280,"52.69434,4.798203",274,1532815054,2018-07-28Z
10768,KLM1626,285,"52.69334,4.811894",274,1532815047,2018-07-28Z
11031,KLM1626,288,"52.690483,4.833818",274,1532815035,2018-07-28Z
11321,KLM1626,292,"52.685829,4.857548",274,1532815023,2018-07-28Z
11596,KLM1626,292,"52.680622,4.879324",274,1532815011,2018-07-28Z
12374,KLM1626,292,"52.666267,4.94042",282,1532814979,2018-07-28Z
13211,KLM1626,292,"52.650753,5.003481",282,1532814946,2018-07-28Z
14046,KLM1626,292,"52.635532,5.065747",286,1532814915,2018-07-28Z
14896,KLM1626,291,"52.619518,5.131373",290,1532814883,2018-07-28Z
15866,KLM1626,291,"52.60173,5.206065",310,1532814847,2018-07-28Z
16897,KLM1626,291,"52.583435,5.284289",314,1532814811,2018-07-28Z
17910,KLM1626,291,"52.567825,5.35404",334,1532814779,2018-07-28Z
19704,KLM1626,286,"52.532322,5.49277",364,1532814719,2018-07-28Z
21294,KLM1626,305,"52.498489,5.599468",364,1532814674,2018-07-28Z
23652,KLM1626,305,"52.437794,5.745642",368,1532814610,2018-07-28Z
23999,KLM1626,305,"52.376343,5.892099",370,1532814546,2018-07-28Z
23974,KLM1626,305,"52.313496,6.040332",392,1532814482,2018-07-28Z
23989,KLM1626,305,"52.248032,6.194793",388,1532814420,2018-07-28Z
24000,KLM1626,305,"52.185772,6.33873",388,1532814358,2018-07-28Z
23999,KLM1626,305,"52.120861,6.489898",388,1532814294,2018-07-28Z
24000,KLM1626,305,"52.059826,6.631126",418,1532814235,2018-07-28Z
23988,KLM1626,305,"51.99229,6.785722",418,1532814170,2018-07-28Z
24000,KLM1626,305,"51.924454,6.939713",422,1532814111,2018-07-28Z
23999,KLM1626,305,"51.851749,7.10401",424,1532814046,2018-07-28Z
24000,KLM1626,303,"51.776123,7.281564",426,1532813980,2018-07-28Z
24000,KLM1626,304,"51.707775,7.453629",432,1532813915,2018-07-28Z
24000,KLM1626,305,"51.698902,7.475128",432,1532813906,2018-07-28Z
23999,KLM1626,308,"51.690022,7.496258",432,1532813899,2018-07-28Z
24000,KLM1626,311,"51.680679,7.516505",432,1532813890,2018-07-28Z
23999,KLM1626,314,"51.670235,7.536606",432,1532813883,2018-07-28Z
24000,KLM1626,317,"51.659615,7.555252",432,1532813875,2018-07-28Z
23999,KLM1626,327,"51.604675,7.625721",432,1532813838,2018-07-28Z
23999,KLM1626,327,"51.496784,7.738266",428,1532813776,2018-07-28Z
24000,KLM1626,328,"51.389977,7.849009",428,1532813710,2018-07-28Z
23999,KLM1626,328,"51.290024,7.952016",426,1532813651,2018-07-28Z
24000,KLM1626,328,"51.184231,8.059118",426,1532813586,2018-07-28Z
23999,KLM1626,325,"51.077488,8.169209",422,1532813523,2018-07-28Z
24000,KLM1626,326,"50.972816,8.28365",422,1532813458,2018-07-28Z
24007,KLM1626,338,"50.877041,8.376712",382,1532813398,2018-07-28Z
24000,KLM1626,342,"50.777443,8.433358",382,1532813338,2018-07-28Z
23999,KLM1626,342,"50.669456,8.489962",384,1532813274,2018-07-28Z
24000,KLM1626,342,"50.562008,8.546349",382,1532813210,2018-07-28Z
24000,KLM1626,342,"50.462219,8.598317",382,1532813150,2018-07-28Z
24000,KLM1626,341,"50.355232,8.653581",380,1532813086,2018-07-28Z
24000,KLM1626,341,"50.247417,8.709038",380,1532813023,2018-07-28Z
24000,KLM1626,341,"50.140953,8.763454",376,1532812958,2018-07-28Z
24000,KLM1626,339,"50.035969,8.820102",374,1532812894,2018-07-28Z
23999,KLM1626,340,"49.939758,8.878491",372,1532812834,2018-07-28Z
24000,KLM1626,269,"49.838966,8.917763",398,1532812775,2018-07-28Z
24000,KLM1626,2,"49.707104,8.91913",398,1532812702,2018-07-28Z
24000,KLM1626,1,"49.589161,8.916783",390,1532812638,2018-07-28Z
24000,KLM1626,1,"49.477734,8.915354",390,1532812578,2018-07-28Z
24000,KLM1626,1,"49.359959,8.913779",390,1532812514,2018-07-28Z
24000,KLM1626,1,"49.241356,8.912253",390,1532812451,2018-07-28Z
23999,KLM1626,1,"49.115711,8.910704",390,1532812383,2018-07-28Z
24000,KLM1626,1,"48.997887,8.909388",390,1532812318,2018-07-28Z
24000,KLM1626,1,"48.889027,8.908031",390,1532812259,2018-07-28Z
24000,KLM1626,1,"48.770298,8.906412",390,1532812195,2018-07-28Z
24000,KLM1626,1,"48.653538,8.904393",390,1532812130,2018-07-28Z
24000,KLM1626,89,"48.538387,8.904013",394,1532812066,2018-07-28Z
23999,KLM1626,358,"48.509842,8.904774",394,1532812052,2018-07-28Z
24000,KLM1626,358,"48.502876,8.905002",394,1532812046,2018-07-28Z
23999,KLM1626,357,"48.48856,8.905581",394,1532812039,2018-07-28Z
24000,KLM1626,352,"48.473686,8.906253",394,1532812030,2018-07-28Z
24000,KLM1626,336,"48.459766,8.907037",394,1532812022,2018-07-28Z
23999,KLM1626,14,"48.423542,8.909149",394,1532812002,2018-07-28Z
24000,KLM1626,1,"48.315411,8.90112",394,1532811942,2018-07-28Z
24000,KLM1626,1,"48.199638,8.899591",394,1532811878,2018-07-28Z
23999,KLM1626,1,"48.090218,8.898117",394,1532811818,2018-07-28Z
24000,KLM1626,1,"47.958469,8.896608",394,1532811746,2018-07-28Z
23999,KLM1626,1,"47.835667,8.895176",394,1532811678,2018-07-28Z
