Altitude,Callsign,Direction,Position,Speed,Timestamp,UTC
0,EZY21AP,233,"52.311024,4.753761",21,1523808877,2018-04-15Z
0,EZY21AP,87,"52.31424,4.753647",28,1523808803,2018-04-15Z
0,EZY21AP,87,"52.314007,4.745643",20,1523808746,2018-04-15Z
0,EZY21AP,87,"52.313972,4.744465",18,1523808739,2018-04-15Z
0,EZY21AP,87,"52.313931,4.743366",33,1523808729,2018-04-15Z
0,EZY21AP,87,"52.313896,4.742584",30,1523808721,2018-04-15Z
0,EZY21AP,163,"52.314045,4.741464",29,1523808710,2018-04-15Z
0,EZY21AP,154,"52.31543,4.740849",22,1523808691,2018-04-15Z
0,EZY21AP,151,"52.316277,4.740149",35,1523808682,2018-04-15Z
0,EZY21AP,174,"52.318233,4.738922",47,1523808672,2018-04-15Z
0,EZY21AP,182,"52.320774,4.739056",98,1523808663,2018-04-15Z
50,EZY21AP,182,"52.327423,4.739685",138,1523808650,2018-04-15Z
250,EZY21AP,183,"52.337471,4.7406",129,1523808635,2018-04-15Z
350,EZY21AP,183,"52.34306,4.74115",129,1523808626,2018-04-15Z
475,EZY21AP,183,"52.3494,4.74174",129,1523808616,2018-04-15Z
600,EZY21AP,184,"52.355671,4.74225",128,1523808605,2018-04-15Z
725,EZY21AP,183,"52.362518,4.74295",128,1523808595,2018-04-15Z
850,EZY21AP,183,"52.368328,4.74343",129,1523808586,2018-04-15Z
950,EZY21AP,183,"52.374432,4.74397",130,1523808576,2018-04-15Z
1075,EZY21AP,184,"52.380951,4.7446",130,1523808566,2018-04-15Z
1225,EZY21AP,182,"52.388031,4.74531",143,1523808556,2018-04-15Z
1350,EZY21AP,183,"52.39426,4.74578",150,1523808545,2018-04-15Z
1475,EZY21AP,183,"52.40181,4.74649",159,1523808536,2018-04-15Z
1600,EZY21AP,183,"52.4086,4.74711",166,1523808526,2018-04-15Z
1725,EZY21AP,183,"52.415909,4.74785",163,1523808516,2018-04-15Z
1825,EZY21AP,183,"52.419941,4.74823",163,1523808510,2018-04-15Z
2000,EZY21AP,183,"52.428181,4.74892",165,1523808501,2018-04-15Z
2050,EZY21AP,183,"52.431839,4.7493",176,1523808495,2018-04-15Z
2125,EZY21AP,183,"52.441769,4.75021",181,1523808486,2018-04-15Z
2150,EZY21AP,183,"52.449421,4.75098",175,1523808476,2018-04-15Z
2150,EZY21AP,183,"52.456791,4.75166",177,1523808465,2018-04-15Z
2125,EZY21AP,183,"52.46563,4.75245",182,1523808456,2018-04-15Z
2125,EZY21AP,183,"52.474468,4.75323",182,1523808446,2018-04-15Z
2150,EZY21AP,184,"52.48315,4.75403",181,1523808436,2018-04-15Z
2200,EZY21AP,185,"52.49184,4.75504",181,1523808425,2018-04-15Z
2300,EZY21AP,186,"52.500542,4.75645",194,1523808416,2018-04-15Z
2425,EZY21AP,191,"52.515289,4.75983",201,1523808402,2018-04-15Z
2450,EZY21AP,194,"52.517071,4.76045",203,1523808396,2018-04-15Z
2550,EZY21AP,211,"52.526138,4.76555",209,1523808386,2018-04-15Z
2725,EZY21AP,252,"52.53754,4.78485",218,1523808377,2018-04-15Z
2950,EZY21AP,287,"52.538818,4.81766",229,1523808352,2018-04-15Z
3025,EZY21AP,297,"52.537449,4.82445",231,1523808346,2018-04-15Z
3125,EZY21AP,323,"52.526051,4.84688",235,1523808332,2018-04-15Z
3150,EZY21AP,323,"52.51923,4.85527",234,1523808322,2018-04-15Z
3200,EZY21AP,326,"52.510601,4.86569",237,1523808312,2018-04-15Z
3400,EZY21AP,339,"52.498764,4.877319",241,1523808299,2018-04-15Z
3575,EZY21AP,342,"52.488281,4.883118",242,1523808289,2018-04-15Z
3775,EZY21AP,343,"52.473816,4.890289",243,1523808276,2018-04-15Z
3950,EZY21AP,343,"52.462646,4.895706",245,1523808265,2018-04-15Z
4100,EZY21AP,343,"52.45171,4.90108",247,1523808255,2018-04-15Z
4375,EZY21AP,344,"52.434109,4.90963",158,1523808243,2018-04-15Z
